zona,dia_semana,hora,capacidad,ocupados,prob_ocupado
D,5,12,48,6,0.125
D,5,14,48,5,0.104
D,5,16,48,3,0.062
D,5,18,78,15,0.192
E,0,6,32,2,0.062
E,0,8,32,18,0.562
E,0,10,32,12,0.375
E,0,12,32,8,0.25
E,0,14,32,5,0.156
E,0,16,32,3,0.094
E,0,18,32,5,0.156
E,1,6,32,5,0.156
E,1,8,32,16,0.5
E,1,10,32,11,0.344
E,1,12,32,10,0.312
E,1,14,32,11,0.344
E,1,16,32,4,0.125
E,1,18,32,2,0.062
E,2,6,32,3,0.094
E,2,8,32,14,0.438
E,2,10,32,10,0.312
E,2,12,32,9,0.281
E,2,14,32,6,0.188
E,2,16,32,7,0.219
E,2,18,32,3,0.094
E,3,6,32,8,0.25
E,3,8,32,18,0.562
E,3,10,32,12,0.375
E,3,12,32,9,0.281
E,3,14,32,15,0.469
E,3,16,32,4,0.125
E,3,18,32,3,0.094
E,4,6,32,4,0.125
E,4,8,32,16,0.5
E,4,10,32,5,0.156
E,4,12,32,7,0.219
E,4,14,32,9,0.281
E,4,16,32,6,0.188
E,4,18,32,1,0.031
E,5,6,32,1,0.031
E,5,8,32,2,0.062
E,5,10,32,2,0.062
E,5,12,32,0,0.0
E,5,14,32,1,0.031
E,5,16,32,5,0.156
E,5,18,52,11,0.212
