semana,dia_semana,hora,zona,capacidad,ocupados,prob_ocupado
0,4,8,A,6,3,0.5
0,4,8,B,4,2,0.5
0,4,8,C,6,3,0.5
0,4,8,D,4,1,0.25
0,4,9,A,6,2,0.333
0,4,9,B,4,1,0.25
0,4,9,C,6,2,0.333
0,4,9,D,4,1,0.25
0,4,10,A,6,2,0.333
0,4,10,B,4,0,0.0
0,4,10,C,6,2,0.333
0,4,10,D,4,1,0.25
0,4,11,A,6,2,0.333
0,4,11,B,4,1,0.25
0,4,11,C,6,0,0.0
0,4,11,D,4,1,0.25
0,4,12,A,6,3,0.5
0,4,12,B,4,0,0.0
0,4,12,C,6,2,0.333
0,4,12,D,4,2,0.5
0,4,13,A,6,2,0.333
0,4,13,B,4,1,0.25
0,4,13,C,6,1,0.167
0,4,13,D,4,1,0.25
0,4,14,A,6,2,0.333
0,4,14,B,4,0,0.0
0,4,14,C,6,2,0.333
0,4,14,D,4,0,0.0
0,4,15,A,6,1,0.167
0,4,15,B,4,0,0.0
0,4,15,C,6,2,0.333
0,4,15,D,4,0,0.0
0,4,16,A,6,2,0.333
0,4,16,B,4,0,0.0
0,4,16,C,6,1,0.167
0,4,16,D,4,0,0.0
0,4,17,A,6,0,0.0
0,4,17,B,4,0,0.0
0,4,17,C,6,0,0.0
0,4,17,D,4,0,0.0
0,4,18,A,6,1,0.167
0,4,18,B,4,0,0.0
0,4,18,C,6,0,0.0
0,4,18,D,4,1,0.25
0,5,6,A,6,0,0.0
0,5,6,B,4,0,0.0
0,5,6,C,6,0,0.0
0,5,6,D,4,0,0.0
0,5,7,A,6,1,0.167
0,5,7,B,4,0,0.0
0,5,7,C,6,1,0.167
0,5,7,D,4,0,0.0
0,5,8,A,6,1,0.167
0,5,8,B,4,0,0.0
0,5,8,C,6,1,0.167
0,5,8,D,4,0,0.0
0,5,9,A,6,1,0.167
0,5,9,B,4,0,0.0
0,5,9,C,6,1,0.167
0,5,9,D,4,1,0.25
0,5,10,A,6,0,0.0
0,5,10,B,4,1,0.25
0,5,10,C,6,1,0.167
0,5,10,D,4,0,0.0
0,5,11,A,6,0,0.0
0,5,11,B,4,0,0.0
0,5,11,C,6,0,0.0
0,5,11,D,4,0,0.0
0,5,12,A,6,1,0.167
0,5,12,B,4,0,0.0
0,5,12,C,6,2,0.333
0,5,12,D,4,0,0.0
0,5,13,A,6,1,0.167
0,5,13,B,4,0,0.0
0,5,13,C,6,0,0.0
0,5,13,D,4,0,0.0
0,5,14,A,6,0,0.0
0,5,14,B,4,0,0.0
0,5,14,C,6,2,0.333
0,5,14,D,4,0,0.0
0,5,15,A,6,0,0.0
0,5,15,B,4,0,0.0
0,5,15,C,6,0,0.0
0,5,15,D,4,0,0.0
0,5,16,A,6,0,0.0
0,5,16,B,4,0,0.0
0,5,16,C,6,0,0.0
0,5,16,D,4,0,0.0
0,5,17,A,6,0,0.0
0,5,17,B,4,0,0.0
0,5,17,C,6,1,0.167
0,5,17,D,4,0,0.0
0,5,18,A,6,0,0.0
0,5,18,B,4,0,0.0
0,5,18,C,6,0,0.0
0,5,18,D,4,0,0.0
1,0,6,A,6,1,0.167
1,0,6,B,4,0,0.0
1,0,6,C,6,1,0.167
1,0,6,D,4,2,0.5
1,0,7,A,6,4,0.667
1,0,7,B,4,1,0.25
1,0,7,C,6,3,0.5
1,0,7,D,4,1,0.25
1,0,8,A,6,4,0.667
1,0,8,B,4,0,0.0
1,0,8,C,6,3,0.5
1,0,8,D,4,1,0.25
1,0,9,A,6,2,0.333
1,0,9,B,4,2,0.5
1,0,9,C,6,2,0.333
1,0,9,D,4,1,0.25
1,0,10,A,6,1,0.167
1,0,10,B,4,2,0.5
1,0,10,C,6,1,0.167
1,0,10,D,4,0,0.0
1,0,11,A,6,2,0.333
1,0,11,B,4,0,0.0
1,0,11,C,6,1,0.167
1,0,11,D,4,2,0.5
1,0,12,A,6,2,0.333
1,0,12,B,4,2,0.5
1,0,12,C,6,2,0.333
1,0,12,D,4,1,0.25
1,0,13,A,6,2,0.333
1,0,13,B,4,1,0.25
1,0,13,C,6,2,0.333
1,0,13,D,4,1,0.25
1,0,14,A,6,2,0.333
1,0,14,B,4,1,0.25
1,0,14,C,6,3,0.5
1,0,14,D,4,1,0.25
1,0,15,A,6,2,0.333
1,0,15,B,4,1,0.25
1,0,15,C,6,2,0.333
1,0,15,D,4,1,0.25
1,0,16,A,6,2,0.333
1,0,16,B,4,0,0.0
1,0,16,C,6,1,0.167
1,0,16,D,4,0,0.0
1,0,17,A,6,1,0.167
1,0,17,B,4,1,0.25
1,0,17,C,6,1,0.167
1,0,17,D,4,0,0.0
1,0,18,A,6,0,0.0
1,0,18,B,4,0,0.0
1,0,18,C,6,1,0.167
1,0,18,D,4,0,0.0
1,1,6,A,6,1,0.167
1,1,6,B,4,1,0.25
1,1,6,C,6,2,0.333
1,1,6,D,4,0,0.0
1,1,7,A,6,3,0.5
1,1,7,B,4,1,0.25
1,1,7,C,6,4,0.667
1,1,7,D,4,1,0.25
1,1,8,A,6,4,0.667
1,1,8,B,4,1,0.25
1,1,8,C,6,3,0.5
1,1,8,D,4,2,0.5
1,1,9,A,6,2,0.333
1,1,9,B,4,1,0.25
1,1,9,C,6,2,0.333
1,1,9,D,4,0,0.0
1,1,10,A,6,2,0.333
1,1,10,B,4,0,0.0
1,1,10,C,6,1,0.167
1,1,10,D,4,2,0.5
1,1,11,A,6,2,0.333
1,1,11,B,4,1,0.25
1,1,11,C,6,0,0.0
1,1,11,D,4,1,0.25
1,1,12,A,6,2,0.333
1,1,12,B,4,1,0.25
1,1,12,C,6,2,0.333
1,1,12,D,4,1,0.25
1,1,13,A,6,3,0.5
1,1,13,B,4,2,0.5
1,1,13,C,6,2,0.333
1,1,13,D,4,1,0.25
1,1,14,A,6,4,0.667
1,1,14,B,4,1,0.25
1,1,14,C,6,3,0.5
1,1,14,D,4,1,0.25
1,1,15,A,6,2,0.333
1,1,15,B,4,1,0.25
1,1,15,C,6,3,0.5
1,1,15,D,4,1,0.25
1,1,16,A,6,2,0.333
1,1,16,B,4,1,0.25
1,1,16,C,6,1,0.167
1,1,16,D,4,0,0.0
1,1,17,A,6,0,0.0
1,1,17,B,4,1,0.25
1,1,17,C,6,1,0.167
1,1,17,D,4,0,0.0
1,1,18,A,6,1,0.167
1,1,18,B,4,0,0.0
1,1,18,C,6,1,0.167
1,1,18,D,4,0,0.0
1,2,6,A,6,2,0.333
1,2,6,B,4,0,0.0
1,2,6,C,6,2,0.333
1,2,6,D,4,1,0.25
1,2,7,A,6,2,0.333
1,2,7,B,4,1,0.25
1,2,7,C,6,1,0.167
1,2,7,D,4,1,0.25
1,2,8,A,6,4,0.667
1,2,8,B,4,2,0.5
1,2,8,C,6,2,0.333
1,2,8,D,4,2,0.5
1,2,9,A,6,2,0.333
1,2,9,B,4,2,0.5
1,2,9,C,6,2,0.333
1,2,9,D,4,1,0.25
1,2,10,A,6,2,0.333
1,2,10,B,4,0,0.0
1,2,10,C,6,2,0.333
1,2,10,D,4,0,0.0
1,2,11,A,6,2,0.333
1,2,11,B,4,1,0.25
1,2,11,C,6,2,0.333
1,2,11,D,4,1,0.25
1,2,12,A,6,2,0.333
1,2,12,B,4,2,0.5
1,2,12,C,6,1,0.167
1,2,12,D,4,1,0.25
1,2,13,A,6,2,0.333
1,2,13,B,4,2,0.5
1,2,13,C,6,3,0.5
1,2,13,D,4,1,0.25
1,2,14,A,6,2,0.333
1,2,14,B,4,0,0.0
1,2,14,C,6,3,0.5
1,2,14,D,4,0,0.0
1,2,15,A,6,3,0.5
1,2,15,B,4,0,0.0
1,2,15,C,6,1,0.167
1,2,15,D,4,0,0.0
1,2,16,A,6,1,0.167
1,2,16,B,4,0,0.0
1,2,16,C,6,0,0.0
1,2,16,D,4,0,0.0
1,2,17,A,6,0,0.0
1,2,17,B,4,1,0.25
1,2,17,C,6,2,0.333
1,2,17,D,4,0,0.0
1,2,18,A,6,0,0.0
1,2,18,B,4,0,0.0
1,2,18,C,6,0,0.0
1,2,18,D,4,0,0.0
1,3,6,A,6,2,0.333
1,3,6,B,4,0,0.0
1,3,6,C,6,2,0.333
1,3,6,D,4,0,0.0
1,3,7,A,6,3,0.5
1,3,7,B,4,2,0.5
1,3,7,C,6,1,0.167
1,3,7,D,4,1,0.25
1,3,8,A,6,2,0.333
1,3,8,B,4,1,0.25
1,3,8,C,6,2,0.333
1,3,8,D,4,1,0.25
1,3,9,A,6,3,0.5
1,3,9,B,4,2,0.5
1,3,9,C,6,2,0.333
1,3,9,D,4,2,0.5
1,3,10,A,6,1,0.167
1,3,10,B,4,1,0.25
1,3,10,C,6,1,0.167
1,3,10,D,4,0,0.0
1,3,11,A,6,3,0.5
1,3,11,B,4,0,0.0
1,3,11,C,6,2,0.333
1,3,11,D,4,1,0.25
1,3,12,A,6,3,0.5
1,3,12,B,4,1,0.25
1,3,12,C,6,1,0.167
1,3,12,D,4,0,0.0
1,3,13,A,6,2,0.333
1,3,13,B,4,1,0.25
1,3,13,C,6,3,0.5
1,3,13,D,4,2,0.5
1,3,14,A,6,2,0.333
1,3,14,B,4,2,0.5
1,3,14,C,6,2,0.333
1,3,14,D,4,1,0.25
1,3,15,A,6,1,0.167
1,3,15,B,4,1,0.25
1,3,15,C,6,2,0.333
1,3,15,D,4,0,0.0
1,3,16,A,6,1,0.167
1,3,16,B,4,0,0.0
1,3,16,C,6,1,0.167
1,3,16,D,4,0,0.0
1,3,17,A,6,0,0.0
1,3,17,B,4,1,0.25
1,3,17,C,6,1,0.167
1,3,17,D,4,0,0.0
1,3,18,A,6,0,0.0
1,3,18,B,4,1,0.25
1,3,18,C,6,0,0.0
1,3,18,D,4,0,0.0
1,4,6,A,6,2,0.333
1,4,6,B,4,2,0.5
1,4,6,C,6,0,0.0
1,4,6,D,4,0,0.0
1,4,7,A,6,2,0.333
1,4,7,B,4,1,0.25
1,4,7,C,6,2,0.333
1,4,7,D,4,1,0.25
1,4,8,A,6,2,0.333
1,4,8,B,4,1,0.25
1,4,8,C,6,4,0.667
1,4,8,D,4,2,0.5
1,4,9,A,6,3,0.5
1,4,9,B,4,2,0.5
1,4,9,C,6,2,0.333
1,4,9,D,4,0,0.0
1,4,10,A,6,1,0.167
1,4,10,B,4,1,0.25
1,4,10,C,6,1,0.167
1,4,10,D,4,0,0.0
1,4,11,A,6,2,0.333
1,4,11,B,4,1,0.25
1,4,11,C,6,1,0.167
1,4,11,D,4,1,0.25
1,4,12,A,6,0,0.0
1,4,12,B,4,1,0.25
1,4,12,C,6,2,0.333
1,4,12,D,4,2,0.5
1,4,13,A,6,2,0.333
1,4,13,B,4,1,0.25
1,4,13,C,6,2,0.333
1,4,13,D,4,1,0.25
1,4,14,A,6,1,0.167
1,4,14,B,4,0,0.0
1,4,14,C,6,2,0.333
1,4,14,D,4,1,0.25
1,4,15,A,6,1,0.167
1,4,15,B,4,2,0.5
1,4,15,C,6,1,0.167
1,4,15,D,4,1,0.25
1,4,16,A,6,1,0.167
1,4,16,B,4,0,0.0
1,4,16,C,6,1,0.167
1,4,16,D,4,1,0.25
1,4,17,A,6,1,0.167
1,4,17,B,4,0,0.0
1,4,17,C,6,0,0.0
1,4,17,D,4,0,0.0
1,4,18,A,6,1,0.167
1,4,18,B,4,0,0.0
1,4,18,C,6,0,0.0
1,4,18,D,4,0,0.0
1,5,6,A,6,1,0.167
1,5,6,B,4,0,0.0
1,5,6,C,6,0,0.0
1,5,6,D,4,0,0.0
1,5,7,A,6,0,0.0
1,5,7,B,4,0,0.0
1,5,7,C,6,0,0.0
1,5,7,D,4,0,0.0
1,5,8,A,6,1,0.167
1,5,8,B,4,0,0.0
1,5,8,C,6,1,0.167
1,5,8,D,4,0,0.0
1,5,9,A,6,2,0.333
1,5,9,B,4,1,0.25
1,5,9,C,6,1,0.167
1,5,9,D,4,0,0.0
1,5,10,A,6,0,0.0
1,5,10,B,4,0,0.0
1,5,10,C,6,1,0.167
1,5,10,D,4,0,0.0
1,5,11,A,6,0,0.0
1,5,11,B,4,0,0.0
1,5,11,C,6,0,0.0
1,5,11,D,4,0,0.0
1,5,12,A,6,1,0.167
1,5,12,B,4,1,0.25
1,5,12,C,6,1,0.167
1,5,12,D,4,0,0.0
1,5,13,A,6,1,0.167
1,5,13,B,4,1,0.25
1,5,13,C,6,1,0.167
1,5,13,D,4,0,0.0
1,5,14,A,6,1,0.167
1,5,14,B,4,0,0.0
1,5,14,C,6,1,0.167
1,5,14,D,4,0,0.0
1,5,15,A,6,0,0.0
1,5,15,B,4,0,0.0
1,5,15,C,6,1,0.167
1,5,15,D,4,0,0.0
1,5,16,A,6,1,0.167
1,5,16,B,4,0,0.0
1,5,16,C,6,0,0.0
1,5,16,D,4,0,0.0
1,5,17,A,6,0,0.0
1,5,17,B,4,0,0.0
1,5,17,C,6,0,0.0
1,5,17,D,4,0,0.0
1,5,18,A,6,0,0.0
1,5,18,B,4,0,0.0
1,5,18,C,6,0,0.0
1,5,18,D,4,0,0.0
2,0,6,A,6,1,0.167
2,0,6,B,4,2,0.5
2,0,6,C,6,2,0.333
2,0,6,D,4,0,0.0
2,0,7,A,6,2,0.333
2,0,7,B,4,1,0.25
2,0,7,C,6,3,0.5
2,0,7,D,4,0,0.0
2,0,8,A,6,3,0.5
2,0,8,B,4,1,0.25
2,0,8,C,6,3,0.5
2,0,8,D,4,2,0.5
2,0,9,A,6,3,0.5
2,0,9,B,4,2,0.5
2,0,9,C,6,3,0.5
2,0,9,D,4,1,0.25
2,0,10,A,6,2,0.333
2,0,10,B,4,0,0.0
2,0,10,C,6,2,0.333
2,0,10,D,4,1,0.25
2,0,11,A,6,2,0.333
2,0,11,B,4,1,0.25
2,0,11,C,6,1,0.167
2,0,11,D,4,1,0.25
2,0,12,A,6,3,0.5
2,0,12,B,4,2,0.5
2,0,12,C,6,2,0.333
2,0,12,D,4,2,0.5
2,0,13,A,6,2,0.333
2,0,13,B,4,1,0.25
2,0,13,C,6,2,0.333
2,0,13,D,4,1,0.25
2,0,14,A,6,2,0.333
2,0,14,B,4,2,0.5
2,0,14,C,6,3,0.5
2,0,14,D,4,1,0.25
2,0,15,A,6,2,0.333
2,0,15,B,4,1,0.25
2,0,15,C,6,1,0.167
2,0,15,D,4,0,0.0
2,0,16,A,6,2,0.333
2,0,16,B,4,0,0.0
2,0,16,C,6,1,0.167
2,0,16,D,4,0,0.0
2,0,17,A,6,1,0.167
2,0,17,B,4,1,0.25
2,0,17,C,6,1,0.167
2,0,17,D,4,1,0.25
2,0,18,A,6,0,0.0
2,0,18,B,4,0,0.0
2,0,18,C,6,0,0.0
2,0,18,D,4,0,0.0
2,1,6,A,6,1,0.167
2,1,6,B,4,1,0.25
2,1,6,C,6,1,0.167
2,1,6,D,4,0,0.0
2,1,7,A,6,2,0.333
2,1,7,B,4,2,0.5
2,1,7,C,6,3,0.5
2,1,7,D,4,1,0.25
2,1,8,A,6,3,0.5
2,1,8,B,4,2,0.5
2,1,8,C,6,3,0.5
2,1,8,D,4,1,0.25
2,1,9,A,6,4,0.667
2,1,9,B,4,1,0.25
2,1,9,C,6,2,0.333
2,1,9,D,4,1,0.25
2,1,10,A,6,2,0.333
2,1,10,B,4,1,0.25
2,1,10,C,6,1,0.167
2,1,10,D,4,0,0.0
2,1,11,A,6,2,0.333
2,1,11,B,4,2,0.5
2,1,11,C,6,1,0.167
2,1,11,D,4,1,0.25
2,1,12,A,6,2,0.333
2,1,12,B,4,2,0.5
2,1,12,C,6,2,0.333
2,1,12,D,4,1,0.25
2,1,13,A,6,3,0.5
2,1,13,B,4,1,0.25
2,1,13,C,6,2,0.333
2,1,13,D,4,2,0.5
2,1,14,A,6,4,0.667
2,1,14,B,4,2,0.5
2,1,14,C,6,2,0.333
2,1,14,D,4,1,0.25
2,1,15,A,6,1,0.167
2,1,15,B,4,1,0.25
2,1,15,C,6,2,0.333
2,1,15,D,4,1,0.25
2,1,16,A,6,2,0.333
2,1,16,B,4,0,0.0
2,1,16,C,6,1,0.167
2,1,16,D,4,0,0.0
2,1,17,A,6,1,0.167
2,1,17,B,4,1,0.25
2,1,17,C,6,1,0.167
2,1,17,D,4,0,0.0
2,1,18,A,6,0,0.0
2,1,18,B,4,1,0.25
2,1,18,C,6,0,0.0
2,1,18,D,4,1,0.25
2,2,6,A,6,0,0.0
2,2,6,B,4,0,0.0
2,2,6,C,6,1,0.167
2,2,6,D,4,0,0.0
2,2,7,A,6,2,0.333
2,2,7,B,4,1,0.25
2,2,7,C,6,2,0.333
2,2,7,D,4,1,0.25
2,2,8,A,6,3,0.5
2,2,8,B,4,1,0.25
2,2,8,C,6,3,0.5
2,2,8,D,4,1,0.25
2,2,9,A,6,2,0.333
2,2,9,B,4,1,0.25
2,2,9,C,6,2,0.333
2,2,9,D,4,2,0.5
2,2,10,A,6,2,0.333
2,2,10,B,4,2,0.5
2,2,10,C,6,2,0.333
2,2,10,D,4,1,0.25
2,2,11,A,6,1,0.167
2,2,11,B,4,2,0.5
2,2,11,C,6,2,0.333
2,2,11,D,4,1,0.25
2,2,12,A,6,2,0.333
2,2,12,B,4,1,0.25
2,2,12,C,6,2,0.333
2,2,12,D,4,0,0.0
2,2,13,A,6,2,0.333
2,2,13,B,4,2,0.5
2,2,13,C,6,1,0.167
2,2,13,D,4,1,0.25
2,2,14,A,6,3,0.5
2,2,14,B,4,1,0.25
2,2,14,C,6,2,0.333
2,2,14,D,4,1,0.25
2,2,15,A,6,1,0.167
2,2,15,B,4,1,0.25
2,2,15,C,6,1,0.167
2,2,15,D,4,0,0.0
2,2,16,A,6,1,0.167
2,2,16,B,4,0,0.0
2,2,16,C,6,1,0.167
2,2,16,D,4,1,0.25
2,2,17,A,6,1,0.167
2,2,17,B,4,0,0.0
2,2,17,C,6,1,0.167
2,2,17,D,4,0,0.0
2,2,18,A,6,0,0.0
2,2,18,B,4,1,0.25
2,2,18,C,6,1,0.167
2,2,18,D,4,0,0.0
2,3,6,A,6,1,0.167
2,3,6,B,4,1,0.25
2,3,6,C,6,1,0.167
2,3,6,D,4,0,0.0
2,3,7,A,6,2,0.333
2,3,7,B,4,2,0.5
2,3,7,C,6,1,0.167
2,3,7,D,4,2,0.5
2,3,8,A,6,2,0.333
2,3,8,B,4,2,0.5
2,3,8,C,6,2,0.333
2,3,8,D,4,2,0.5
2,3,9,A,6,3,0.5
2,3,9,B,4,1,0.25
2,3,9,C,6,2,0.333
2,3,9,D,4,1,0.25
2,3,10,A,6,1,0.167
2,3,10,B,4,1,0.25
2,3,10,C,6,3,0.5
2,3,10,D,4,0,0.0
2,3,11,A,6,2,0.333
2,3,11,B,4,2,0.5
2,3,11,C,6,1,0.167
2,3,11,D,4,1,0.25
2,3,12,A,6,2,0.333
2,3,12,B,4,0,0.0
2,3,12,C,6,2,0.333
2,3,12,D,4,2,0.5
2,3,13,A,6,3,0.5
2,3,13,B,4,2,0.5
2,3,13,C,6,2,0.333
2,3,13,D,4,1,0.25
2,3,14,A,6,2,0.333
2,3,14,B,4,2,0.5
2,3,14,C,6,1,0.167
2,3,14,D,4,1,0.25
2,3,15,A,6,2,0.333
2,3,15,B,4,0,0.0
2,3,15,C,6,1,0.167
2,3,15,D,4,1,0.25
2,3,16,A,6,1,0.167
2,3,16,B,4,0,0.0
2,3,16,C,6,1,0.167
2,3,16,D,4,1,0.25
2,3,17,A,6,1,0.167
2,3,17,B,4,0,0.0
2,3,17,C,6,0,0.0
2,3,17,D,4,0,0.0
2,3,18,A,6,1,0.167
2,3,18,B,4,0,0.0
2,3,18,C,6,1,0.167
2,3,18,D,4,0,0.0
2,4,6,A,6,1,0.167
2,4,6,B,4,0,0.0
2,4,6,C,6,1,0.167
2,4,6,D,4,0,0.0
2,4,7,A,6,3,0.5
2,4,7,B,4,0,0.0
2,4,7,C,6,2,0.333
2,4,7,D,4,0,0.0
2,4,8,A,6,4,0.667
2,4,8,B,4,0,0.0
2,4,8,C,6,2,0.333
2,4,8,D,4,1,0.25
2,4,9,A,6,2,0.333
2,4,9,B,4,1,0.25
2,4,9,C,6,1,0.167
2,4,9,D,4,2,0.5
2,4,10,A,6,2,0.333
2,4,10,B,4,0,0.0
2,4,10,C,6,1,0.167
2,4,10,D,4,0,0.0
2,4,11,A,6,2,0.333
2,4,11,B,4,2,0.5
2,4,11,C,6,1,0.167
2,4,11,D,4,1,0.25
2,4,12,A,6,2,0.333
2,4,12,B,4,1,0.25
2,4,12,C,6,1,0.167
2,4,12,D,4,0,0.0
2,4,13,A,6,2,0.333
2,4,13,B,4,0,0.0
2,4,13,C,6,1,0.167
2,4,13,D,4,2,0.5
2,4,14,A,6,2,0.333
2,4,14,B,4,0,0.0
2,4,14,C,6,1,0.167
2,4,14,D,4,0,0.0
2,4,15,A,6,2,0.333
2,4,15,B,4,1,0.25
